,geo.name,Year,LifeExp,GDP_PPP,Mortality_U5
0,Australia,2000,79.7,35281.0,6.2
1,Fiji,2000,64.3,6674.0,22.4
2,Kiribati,2000,59.47,2007.0,70.6
3,New Zealand,2000,78.51,28265.0,7.4
4,Papua New Guinea,2000,57.64,1791.0,77.2
5,Samoa,2000,70.45,4326.0,21.9
6,Solomon Islands,2000,61.45,1729.0,29.9
7,Tonga,2000,68.75,4602.0,17.4
8,Vanuatu,2000,62.39,2823.0,28.7
9,Australia,2001,80.0,35481.0,6.1
10,Fiji,2001,64.5,6782.0,22.2
11,Kiribati,2001,59.68,1944.0,68.6
12,New Zealand,2001,78.66,29067.0,7.2
13,Papua New Guinea,2001,57.62,1744.0,76.5
14,Samoa,2001,70.6,4601.0,21.2
15,Solomon Islands,2001,61.34,1549.0,29.5
16,Tonga,2001,68.89,4742.0,17.2
17,Vanuatu,2001,62.36,2664.0,28.5
18,Australia,2002,80.23,36401.0,6.0
19,Fiji,2002,64.66,6987.0,22.2
20,Kiribati,2002,59.81,1983.0,66.9
21,New Zealand,2002,78.95,29900.0,7.0
22,Papua New Guinea,2002,57.6,1698.0,75.7
23,Samoa,2002,70.75,4773.0,20.7
24,Solomon Islands,2002,61.2,1466.0,29.2
25,Tonga,2002,69.0,4876.0,16.9
26,Vanuatu,2002,62.29,2467.0,28.3
27,Australia,2003,80.52,37057.0,5.9
28,Fiji,2003,64.73,7048.0,22.3
29,Kiribati,2003,59.94,1988.0,65.7
30,New Zealand,2003,79.21,30652.0,6.9
31,Papua New Guinea,2003,57.6,1692.0,74.9
32,Samoa,2003,70.89,4958.0,20.2
33,Solomon Islands,2003,61.1,1521.0,29.0
34,Tonga,2003,69.1,4948.0,16.7
35,Vanuatu,2003,62.25,2508.0,28.2
36,Australia,2004,80.79,38149.0,5.8
37,Fiji,2004,64.83,7406.0,22.6
38,Kiribati,2004,60.05,1920.0,65.0
39,New Zealand,2004,79.47,31392.0,6.7
40,Papua New Guinea,2004,57.6,1695.0,74.1
41,Samoa,2004,71.02,5155.0,19.8
42,Solomon Islands,2004,61.04,1556.0,28.9
43,Tonga,2004,69.24,4901.0,16.6
44,Vanuatu,2004,62.24,2542.0,28.3
45,Australia,2005,81.07,38855.0,5.7
46,Fiji,2005,64.89,7427.0,23.1
47,Kiribati,2005,60.18,1976.0,64.6
48,New Zealand,2005,79.83,32065.0,6.6
49,Papua New Guinea,2005,57.65,1759.0,73.1
50,Samoa,2005,71.16,5335.0,19.5
51,Solomon Islands,2005,61.04,1600.0,28.8
52,Tonga,2005,69.46,4947.0,16.5
53,Vanuatu,2005,62.25,2610.0,28.4
54,Australia,2006,81.26,39426.0,5.6
55,Fiji,2006,64.87,7513.0,23.5
56,Kiribati,2006,60.27,1905.0,64.6
57,New Zealand,2006,79.99,32564.0,6.5
58,Papua New Guinea,2006,57.75,1756.0,71.9
59,Samoa,2006,71.3,5405.0,19.3
60,Solomon Islands,2006,61.1,1670.0,28.8
61,Tonga,2006,69.64,4875.0,16.6
62,Vanuatu,2006,62.36,2761.0,28.5
63,Australia,2007,81.42,40650.0,5.4
64,Fiji,2007,64.87,7383.0,23.8
65,Kiribati,2007,60.4,1905.0,64.5
66,New Zealand,2007,80.18,33194.0,6.4
67,Papua New Guinea,2007,57.9,1837.0,70.4
68,Samoa,2007,71.33,5709.0,19.2
69,Solomon Islands,2007,61.0,1750.0,28.7
70,Tonga,2007,69.68,4642.0,16.8
71,Vanuatu,2007,62.49,2834.0,28.7
72,Australia,2008,81.57,41317.0,5.2
73,Fiji,2008,64.9,7384.0,24.1
74,Kiribati,2008,60.52,1830.0,64.3
75,New Zealand,2008,80.33,32545.0,6.4
76,Papua New Guinea,2008,58.21,1913.0,68.8
77,Samoa,2008,71.43,5728.0,19.1
78,Solomon Islands,2008,61.39,1831.0,28.6
79,Tonga,2008,69.71,4755.0,16.9
